time,action,ritc_qty,ritc_action,bull_qty,bull_action,bear_qty,bear_action,profit_cad
2025-09-16T20:41:29-04:00,BUY_RITC/SELL_STOCKS,1000,BUY,1000,SELL,1000,SELL,151.32
2025-09-16T20:41:29-04:00,BUY_RITC/SELL_STOCKS,1000,BUY,1000,SELL,1000,SELL,100.20
2025-09-16T20:41:30-04:00,BUY_RITC/SELL_STOCKS,1000,BUY,1000,SELL,1000,SELL,100.20
2025-09-16T20:41:30-04:00,BUY_RITC/SELL_STOCKS,1000,BUY,1000,SELL,1000,SELL,80.20
2025-09-16T20:41:33-04:00,BUY_RITC/SELL_STOCKS,1000,BUY,1000,SELL,1000,SELL,79.64
2025-09-16T20:41:35-04:00,BUY_RITC/SELL_STOCKS,1000,BUY,1000,SELL,1000,SELL,76.35
2025-09-16T20:41:40-04:00,BUY_RITC/SELL_STOCKS,1000,BUY,1000,SELL,1000,SELL,182.60
2025-09-16T20:41:40-04:00,BUY_RITC/SELL_STOCKS,1000,BUY,1000,SELL,1000,SELL,208.54
2025-09-16T20:41:41-04:00,BUY_RITC/SELL_STOCKS,1000,BUY,1000,SELL,1000,SELL,208.54
2025-09-16T20:41:41-04:00,BUY_RITC/SELL_STOCKS,1000,BUY,1000,SELL,1000,SELL,208.54
2025-09-16T20:41:43-04:00,BUY_RITC/SELL_STOCKS,1000,BUY,1000,SELL,1000,SELL,114.89
2025-09-16T20:41:45-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,107.32
2025-09-16T20:41:51-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,205.51
2025-09-16T20:41:52-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,85.13
2025-09-16T20:41:53-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,155.13
2025-09-16T20:41:54-04:00,SELL_RITC/BUY_STOCKS,1000,SELL,1000,BUY,1000,BUY,92.58
